kyc_id,customer_id,aadhaar_number,kyc_status
1,470,802503115739,Pending
2,527,036860203929,Completed
3,909,343087684410,Completed
4,707,390630372457,Completed
5,537,860467554156,Pending
6,656,644215023742,Completed
7,810,531045925214,"Under Review"
8,437,346168433814,"Under Review"
9,122,260418031033,Pending
10,307,948177682468,Pending
11,149,932911155233,Completed
12,258,331591659528,"Under Review"
13,658,708212294807,Pending
14,174,509215594020,Pending
15,965,207248585644,Pending
16,451,024823625766,"Under Review"
17,216,836129460192,Pending
18,155,529058096522,Pending
19,345,371670285824,Completed
20,727,810484102168,Completed
21,748,776700719506,Completed
22,967,569983946377,Pending
23,653,383878701336,"Under Review"
24,412,542335558069,Completed
25,287,398816699107,Pending
26,277,290708854491,Completed
27,405,204725142341,Pending
28,238,928250781124,"Under Review"
29,969,219949639417,"Under Review"
30,510,664547096781,"Under Review"
31,597,045393796363,"Under Review"
32,580,365448213966,Pending
33,36,342886626073,"Under Review"
34,668,835322560193,Pending
35,500,986571605897,"Under Review"
36,643,300357423255,Completed
37,450,864675636824,Pending
38,516,033159834881,Pending
39,377,760091859408,Pending
40,543,726876246665,Pending
41,873,466329819821,Pending
42,721,856489399574,"Under Review"
43,199,554339253924,Pending
44,964,404773324675,Completed
45,576,062420677400,Completed
46,518,473903656954,Pending
47,490,040239568682,Completed
48,309,381759280492,Completed
49,889,214929775675,"Under Review"
50,667,688009961918,"Under Review"
51,331,837664195682,Completed
52,175,204346698622,"Under Review"
53,284,713715362008,Completed
54,645,377638112498,"Under Review"
55,371,609592649492,Completed
56,982,182848618276,Completed
57,797,760320958421,Pending
58,718,267975427144,Completed
59,370,583427345708,Completed
60,366,910399790010,"Under Review"
61,586,128814382514,Pending
62,27,300510371414,Pending
63,731,380299967207,"Under Review"
64,755,974669173891,Pending
65,874,457053904304,"Under Review"
66,851,735336230606,"Under Review"
67,113,510556571105,Pending
68,726,804873593260,Pending
69,121,221131666492,Pending
70,270,151809155386,Completed
71,603,980975138945,"Under Review"
72,952,621986372454,Pending
73,492,092028760095,Pending
74,762,903161995380,"Under Review"
75,324,550075633452,Pending
76,720,516017633630,Pending
77,222,145329782184,Completed
78,379,026137148499,Pending
79,356,321811548245,Pending
80,88,689341464960,Completed
81,362,487802005079,Pending
82,511,978412977248,Pending
83,279,452039421162,Completed
84,55,641600430993,Completed
85,85,551469766166,Completed
86,246,472470822456,Completed
87,692,235847727380,Pending
88,148,444360022658,Pending
89,203,043642845490,Completed
90,391,458652578165,"Under Review"
91,842,089748982370,Pending
92,878,551033913397,Pending
93,334,497027646693,"Under Review"
94,820,430191717564,Pending
95,139,709332421962,"Under Review"
96,404,901995788025,Completed
97,410,150817590932,Completed
98,551,949486591317,Completed
99,242,541953212493,Completed
100,893,060074717768,"Under Review"
101,849,313459833668,Pending
102,654,788738685604,"Under Review"
103,933,231219298796,Completed
104,41,707182637466,Completed
105,901,976332325446,Completed
106,812,181860081536,Completed
107,499,857444617470,Pending
108,107,198334399368,Pending
109,436,710174512091,Pending
110,602,656278094353,Pending
111,927,067752598627,Pending
112,610,336889244934,Completed
113,629,592353519654,Completed
114,142,723534490356,"Under Review"
115,467,588853668989,"Under Review"
116,194,235089777508,"Under Review"
117,869,452906838876,Pending
118,7,070681761750,Pending
119,646,910263983635,Completed
120,18,240092078009,"Under Review"
121,280,076060015029,"Under Review"
122,957,184887712754,Completed
123,544,841708701348,Completed
124,669,073893381771,"Under Review"
125,799,487877751131,"Under Review"
126,3,787946331025,"Under Review"
127,774,152758463631,Completed
128,487,506151430318,"Under Review"
129,473,628991259119,"Under Review"
130,240,392437937354,Pending
131,368,509363426593,"Under Review"
132,908,787667514944,"Under Review"
133,696,610903957491,Completed
134,853,235737318674,"Under Review"
135,248,837512959334,Completed
136,932,646503241674,Completed
137,596,702387261967,"Under Review"
138,563,693770903332,Pending
139,264,738539662225,Completed
140,555,868348938373,Completed
141,456,734572468611,Completed
142,937,670628974377,Completed
143,567,599109732072,Pending
144,11,931272912294,Completed
145,523,286862072562,Completed
146,486,432131260007,Completed
147,293,585753396755,"Under Review"
148,316,683850872584,Completed
149,650,936577100732,Pending
150,915,102204490314,Pending
151,633,495821630524,Pending
152,338,907456927721,Completed
153,448,448204475722,Completed
154,698,982038729101,Pending
155,659,370641802794,Completed
156,228,782448103362,"Under Review"
157,883,627997056112,Completed
158,160,353518883843,Pending
159,313,621576667368,Completed
160,502,804738231420,Pending
161,204,793287742502,Pending
162,70,729723975833,Completed
163,802,959533973705,Completed
