customer_id,first_name,last_name,email,phone,address,city,state
1,Edhitha,Atwal,zayyan43@example.com,234852317,"96/24
Narayan Nagar, Ranchi 232760",Narayan Nagar,232760
2,Hitesh,Vasa,rattanhemal@example.net,4178362646,"H.No. 553
Borde Circle, Thanjavur 399002",Borde Circle,399002
3,Varenya,Tara,hardik17@example.net,91 9000000001,"92, Chadha Ganj, Meerut-721877",Meerut,721877
4,Sneha,Puri,iminhas@example.com,3653261528,"39/74, Khatri Nagar
Nagercoil-044423",Nagercoil,044423
5,Darpan,Krish,rachit96@example.org,91 9000000002,"93/69, Gill Chowk
Satna 759345",Gill Chowk,759345
6,Orinder,Sen,amrita64@example.org,369554169,"H.No. 16, Hayre
New Delhi-485634",New Delhi,485634
7,Mohammed,Jaggi,wmukhopadhyay@example.com,91 9000000003,"26/841
Konda Circle, Ramagundam-753087",Ramagundam,753087
8,Om,Peri,quincyrattan@example.org,5272446396,"54, Boase Road, Kavali-740404",Kavali,740404
9,Nandini,Sengupta,ekantikagoswami@example.net,1503024423,"47/15
Wable Street
Nellore-000214",Nellore,000214
10,Jagat,Walia,unazareth@example.org,91 9000000004,"890, Basak Nagar, Bettiah-799605",Bettiah,799605
11,Harini,Bhargava,madansamuel@example.net,91 9000000005,"H.No. 26, Grover Road, Unnao 674842",Grover Road,674842
12,Falan,Mannan,sbava@example.net,1159535332,"43/302
Krishna Marg
Cuttack 295586",Krishna Marg,295586
13,Chasmum,Kothari,yoshita21@example.org,6589449784,"75/554, Behl Street, Morena-071254",Morena,071254
14,Vyanjana,Goswami,harshilbhavsar@example.net,9356733656,"H.No. 66
Nath
Secunderabad 415822",Nath,415822
15,Abha,Gera,chadhemal@example.org,91 9000000006,"63/192
Bath Nagar
Tenali 277761",Bath Nagar,277761
16,Vedant,Vyas,abhirambains@example.org,91 9000000007,"H.No. 784
Sane Marg, Uluberia-448360",Uluberia,448360
17,Nitesh,Hari,khoslameghana@example.com,9975616675,"H.No. 61
Bhat Nagar, Gudivada-308505",Gudivada,308505
18,Raagini,Dhar,umanne@example.org,4022627329,"31/070, Naik Nagar
Dharmavaram 197398",Naik Nagar,197398
19,Kashvi,Narain,samarth96@example.com,9032559583,"13/061
Dhaliwal Road
Nagercoil 284298",Dhaliwal Road,284298
20,Krishna,Chandra,damyantisarna@example.net,91 9000000008,"77/65, Sridhar Path, Danapur 764245",Sridhar Path,764245
21,Hemangini,D’Alia,ria87@example.org,91 9000000009,"H.No. 974, Mani Nagar
Kulti-159228",Kulti,159228
22,Devika,Oza,virajwalla@example.org,6769282811,"H.No. 164
Bhatt Chowk
Ahmednagar 585360",Bhatt Chowk,585360
23,Ronith,Nadkarni,amblechampak@example.com,9696817481,"36, Ramachandran Nagar, Solapur 963363",Ramachandran Nagar,963363
24,Eesha,Soni,ryan96@example.com,91 9000000010,"031
Sehgal Path, Srikakulam 004640",Sehgal Path,004640
25,Sanya,Grover,kashish45@example.net,6640245508,"H.No. 58, Keer Road
Kollam-697817",Kollam,697817
26,Ethan,Ray,sanyataneja@example.com,1043260783,"H.No. 60
Chaudhari Marg
Jorhat 007358",Chaudhari Marg,007358
27,Anay,Bajaj,bahadurjit92@example.org,91 9000000011,"H.No. 61
Varty Zila
Srikakulam-922364",Srikakulam,922364
28,Banjeet,Kota,murthylavanya@example.net,4201896033,"78/452
Bawa Marg, Katni 173710",Bawa Marg,173710
29,Lila,Bajwa,ladomya@example.com,91 9000000012,"258, Srinivasan Street, Guna 202177",Srinivasan Street,202177
30,Unni,Basu,ikshita67@example.org,91 9000000013,"H.No. 130, Khare, Dibrugarh 466692",Khare,466692
31,Vansha,Munshi,nchaudhary@example.org,7761823955,"H.No. 68, Borde Path
Jabalpur-689970",Jabalpur,689970
32,Baljiwan,Ramakrishnan,rushilmann@example.net,9799870469,"57
Anne Marg
Aurangabad-238132",Aurangabad,238132
33,Chaitaly,Dey,ekta61@example.net,7385840404,"262, Shukla Chowk, New Delhi 496736",Shukla Chowk,496736
34,Nidhi,Hegde,adugar@example.com,3093004298,"69
Kalla Road
Malda-385372",Malda,385372
35,Gaurika,Bhasin,chandran83@example.org,91 9000000014,"27/45
Setty Circle
Hospet-880605",Hospet,880605
36,Wridesh,Tara,agarwalvaishnavi@example.com,4837401443,"25/49, Vaidya Zila, Karaikudi 824697",Vaidya Zila,824697
37,Anusha,Kade,meghavyas@example.net,8772662060,"H.No. 981, Palla Road, Sultan Pur Majra-321155",Sultan Pur Majra,321155
38,Ojas,Shroff,tarak83@example.net,3384617940,"94, Johal Road, Jamshedpur 071687",Johal Road,071687
39,Viraj,Boase,xbava@example.com,6480194054,"985
Vohra Zila, Nangloi Jat 923057",Vohra Zila,923057
40,Nakul,Keer,rdevi@example.net,91 9000000015,"500, Mahajan Road, Dhule-463423",Dhule,463423
41,Mohini,Khare,aadisane@example.net,6424635409,"H.No. 072
Mistry Nagar
Shivpuri-529503",Shivpuri,529503
42,Frederick,Bajwa,janujasule@example.org,2426697359,"H.No. 59, Kanda Chowk, Satna-157918",Satna,157918
